label,count,direct_correct,direct_accuracy,asl_correct,asl_accuracy,asl_minus_direct,direct_only,asl_only,exact_mcnemar_p,direct_mean_tokens,asl_mean_tokens
seed17011-x1-o0,100,54,0.54,45,0.45,-0.09,22,13,0.17546524899080396,657.28,128.89
seed17011-x1000-o0,100,22,0.22,42,0.42,0.2,10,30,0.0022214337732293643,896.69,128.25
