model_label,condition,accuracy,trigger_precision,trigger_recall,false_activation_rate,unsupported_commitment_rate,authorized_commitment_coverage,unnecessary_retrieval_rate,evidence_override_rate,abstention_rate,retrospective_detection_rate,mean_generated_tokens,mean_wall_time_ms,mean_retrieval_time_ms
SmolLM2-1.7B,combined_semantic,0.46875,0.8888888888888888,1.0,0.125,1.0,0.0,0.125,0.0,0.0,0.0,7.828125,3505.253628125,0.0335953125
SmolLM2-1.7B,confidence_or_semantic,0.46875,0.8888888888888888,1.0,0.125,1.0,0.0,0.125,0.0,0.0,0.0,7.828125,3505.253628125,0.031475
SmolLM2-1.7B,confidence_and_semantic,0.46875,1.0,0.8125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.828125,3505.253628125,0.0231390625
SmolLM2-1.7B,retrospective_verification,0.46875,0.8888888888888888,1.0,0.125,1.0,0.0,0.125,0.0,0.0,1.0,7.828125,3505.253628125,0.0324703125
SmolLM2-1.7B,evidence_advisory,0.90625,0.8888888888888888,1.0,0.125,0.125,0.875,0.125,0.8888888888888888,0.0,0.0,12.390625,6860.31693125,0.031196875
SmolLM2-1.7B,support_contract,0.84375,0.8888888888888888,1.0,0.125,0.125,0.875,0.125,1.0,0.0625,0.0,12.390625,6925.54191875,0.07736875
SmolLM2-1.7B,runtime_enforcement,0.90625,0.8888888888888888,1.0,0.125,0.0,1.0,0.125,1.0,0.0625,0.0,7.828125,3505.253628125,0.0749375
SmolLM2-1.7B,oracle,0.96875,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.828125,3505.253628125,0.0404453125
Gemma3-1B,no_retrieval,0.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.890625,1706.8483828125,0.0
Gemma3-1B,upfront_retrieval,0.609375,0.5,1.0,1.0,0.03125,0.96875,1.0,0.8125,0.0,0.0,12.203125,3893.238621875,0.076459375
Gemma3-1B,confidence_only,0.25,0.8928571428571429,0.78125,0.09375,1.0,0.0,0.09375,0.0,0.0,0.0,5.890625,1706.8483828125,0.02559375
Gemma3-1B,temporal_only,0.25,0.4,0.25,0.375,1.0,0.0,0.375,0.0,0.0,0.0,5.890625,1706.8483828125,0.041809375
Gemma3-1B,source_only,0.25,0.2857142857142857,0.25,0.625,1.0,0.0,0.625,0.0,0.0,0.0,5.890625,1706.8483828125,0.05009375
Gemma3-1B,context_sufficiency_only,0.25,0.5333333333333333,1.0,0.875,1.0,0.0,0.875,0.0,0.0,0.0,5.890625,1706.8483828125,0.083496875
Gemma3-1B,combined_semantic,0.25,0.8888888888888888,1.0,0.125,1.0,0.0,0.125,0.0,0.0,0.0,5.890625,1706.8483828125,0.03675625
Gemma3-1B,confidence_or_semantic,0.25,0.8205128205128205,1.0,0.21875,1.0,0.0,0.21875,0.0,0.0,0.0,5.890625,1706.8483828125,0.03663125
Gemma3-1B,confidence_and_semantic,0.25,1.0,0.78125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.890625,1706.8483828125,0.0216484375
Gemma3-1B,retrospective_verification,0.25,0.8888888888888888,1.0,0.125,1.0,0.0,0.125,0.0,0.0,1.0,5.890625,1706.8483828125,0.031703125
Gemma3-1B,evidence_advisory,0.671875,0.8888888888888888,1.0,0.125,0.03125,0.96875,0.125,1.0,0.0,0.0,10.03125,3166.610053125,0.03143125
Gemma3-1B,support_contract,0.65625,0.8888888888888888,1.0,0.125,0.0,0.8125,0.125,0.8888888888888888,0.09375,0.0,9.890625,3405.9036296875,0.084353125
Gemma3-1B,runtime_enforcement,0.6875,0.8888888888888888,1.0,0.125,0.0,1.0,0.125,1.0,0.0625,0.0,5.890625,1706.8483828125,0.0854765625
Gemma3-1B,oracle,0.75,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.890625,1706.8483828125,0.040815625
