model_label,condition,accuracy,trigger_precision,trigger_recall,false_activation_rate,unsupported_commitment_rate,authorized_commitment_coverage,unnecessary_retrieval_rate,evidence_override_rate,abstention_rate,retrospective_detection_rate,mean_generated_tokens,mean_wall_time_ms,mean_retrieval_time_ms
Qwen3-0.6B,no_retrieval,0.375,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.578125,1152.2310875,0.0
Qwen3-0.6B,upfront_retrieval,0.640625,0.5,1.0,1.0,0.1875,0.8125,1.0,0.75,0.0,0.0,14.34375,2860.8097890625,0.06930625
Qwen3-0.6B,confidence_only,0.375,0.6078431372549019,0.96875,0.625,1.0,0.0,0.625,0.0,0.0,0.0,6.578125,1152.2310875,0.04285
Qwen3-0.6B,temporal_only,0.375,0.4,0.25,0.375,1.0,0.0,0.375,0.0,0.0,0.0,6.578125,1152.2310875,0.035825
Qwen3-0.6B,source_only,0.375,0.2857142857142857,0.25,0.625,1.0,0.0,0.625,0.0,0.0,0.0,6.578125,1152.2310875,0.0440359375
Qwen3-0.6B,context_sufficiency_only,0.375,0.5333333333333333,1.0,0.875,1.0,0.0,0.875,0.0,0.0,0.0,6.578125,1152.2310875,0.0776125
Qwen3-0.6B,combined_semantic,0.375,0.8888888888888888,1.0,0.125,1.0,0.0,0.125,0.0,0.0,0.0,6.578125,1152.2310875,0.0328375
Qwen3-0.6B,confidence_or_semantic,0.375,0.5714285714285714,1.0,0.75,1.0,0.0,0.75,0.0,0.0,0.0,6.578125,1152.2310875,0.0427
Qwen3-0.6B,confidence_and_semantic,0.375,1.0,0.96875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.578125,1152.2310875,0.0248296875
Qwen3-0.6B,retrospective_verification,0.375,0.8888888888888888,1.0,0.125,1.0,0.0,0.125,0.0,0.0,1.0,6.578125,1152.2310875,0.0271109375
Qwen3-0.6B,evidence_advisory,0.78125,0.8888888888888888,1.0,0.125,0.1875,0.8125,0.125,0.8611111111111112,0.0,0.0,11.1875,2176.2371421875,0.02738125
Qwen3-0.6B,support_contract,0.421875,0.8888888888888888,1.0,0.125,0.125,0.21875,0.125,0.9722222222222222,0.390625,0.0,9.484375,1974.4945,0.0740828125
Qwen3-0.6B,runtime_enforcement,0.8125,0.8888888888888888,1.0,0.125,0.0,1.0,0.125,1.0,0.0625,0.0,6.578125,1152.2310875,0.073665625
Qwen3-0.6B,oracle,0.875,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.578125,1152.2310875,0.03329375
SmolLM2-1.7B,no_retrieval,0.46875,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.828125,3505.253628125,0.0
SmolLM2-1.7B,upfront_retrieval,0.625,0.5,1.0,1.0,0.125,0.875,1.0,0.828125,0.0,0.0,16.328125,9794.6220359375,0.076465625
SmolLM2-1.7B,confidence_only,0.46875,1.0,0.8125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.828125,3505.253628125,0.0232140625
SmolLM2-1.7B,temporal_only,0.46875,0.4,0.25,0.375,1.0,0.0,0.375,0.0,0.0,0.0,7.828125,3505.253628125,0.0389625
SmolLM2-1.7B,source_only,0.46875,0.2857142857142857,0.25,0.625,1.0,0.0,0.625,0.0,0.0,0.0,7.828125,3505.253628125,0.0531640625
SmolLM2-1.7B,context_sufficiency_only,0.46875,0.5333333333333333,1.0,0.875,1.0,0.0,0.875,0.0,0.0,0.0,7.828125,3505.253628125,0.08278125
