condition,operator,correct,count,accuracy
direct,overall,86,100,0.86
direct,cube,23,34,0.6764705882352942
direct,sqrt,33,33,1.0
direct,square,30,33,0.9090909090909091
ap,overall,100,100,1.0
ap,cube,34,34,1.0
ap,sqrt,33,33,1.0
ap,square,33,33,1.0
as,overall,66,100,0.66
as,cube,0,34,0.0
as,sqrt,33,33,1.0
as,square,33,33,1.0
